title,label,label_name,topic,word_count,age_days,f1_original_recomputed,f1_lexical_only,f1_konjunktiv_ii_only,f1_no_generic_verbs,f1_strong_uncertainty_only,f1_lexical_count,f1_konjunktiv_ii_count,f1_no_generic_count,f1_strong_uncertainty_count
"Föderaler Öffentlicher Dienst Auswärtige Angelegenheiten, Außenhandel und Entwicklungszusammenarbeit",0,contested,politics_history,2826,6830,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Fünfjahrplan (Briefmarkenserie),1,stable,politics_history,3042,6924,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Unicredit Bank Austria,0,contested,geography,4408,7649,0.22686025408348456,0.22686025408348456,0.0,0.22686025408348456,0.0,1,0,1,0
Kloster Himmelkron,1,stable,geography,4657,7798,2.791496671677045,2.576766158471119,0.21473051320592657,2.576766158471119,1.2883830792355595,12,1,11,6
Politisches System Japans,0,contested,geography,3643,7615,0.2744990392533626,0.2744990392533626,0.0,0.2744990392533626,0.0,1,0,1,0
Craters of the Moon National Monument,1,stable,geography,3380,7639,0.8875739644970414,0.8875739644970414,0.0,0.591715976331361,0.0,3,0,2,0
Al-Andalus,0,contested,geography,4645,6363,0.6458557588805167,0.6458557588805167,0.0,0.43057050592034446,0.21528525296017223,3,0,2,1
Basler Fasnacht,1,stable,geography,4586,6279,0.21805494984736154,0.21805494984736154,0.0,0.21805494984736154,0.0,1,0,1,0
Judentum in Afrika,0,contested,geography,7971,7232,1.380002509095471,1.1290929619872037,0.2509095471082675,0.8781834148789361,0.3763643206624012,9,2,5,3
LGV Est européenne,1,stable,geography,7672,6732,0.26068821689259647,0.13034410844629823,0.13034410844629823,0.26068821689259647,0.0,1,1,1,0
Nornickel,0,contested,geography,4746,7044,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Schwarzwaldbahn (Baden),1,stable,geography,4724,6736,0.21168501270110077,0.0,0.21168501270110077,0.21168501270110077,0.0,0,1,0,0
Data Loss Prevention,0,contested,science,1785,6603,0.5602240896358543,0.5602240896358543,0.0,0.5602240896358543,0.0,1,0,1,0
Bonnetiaceae,1,stable,science,1746,6998,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Ahmad Schah Massoud,0,contested,geography,7270,5807,0.4126547455295736,0.4126547455295736,0.0,0.1375515818431912,0.0,3,0,1,0
S-Bahn Zürich,1,stable,geography,7244,5747,0.5521811154058531,0.5521811154058531,0.0,0.41413583655438985,0.0,4,0,3,0
Andor Ákos,0,contested,culture,6610,5251,1.059001512859304,0.7564296520423601,0.302571860816944,0.9077155824508321,0.0,5,2,4,0
Deutsche Bank Park,1,stable,culture,6586,4927,0.45551169146674764,0.3036744609778318,0.1518372304889159,0.45551169146674764,0.0,2,1,2,0
Massivholzbau,0,contested,science,3306,6311,0.9074410163339383,0.9074410163339383,0.0,0.9074410163339383,0.3024803387779795,3,0,3,1
Zielratte,1,stable,science,3064,6195,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Israelitische Synagogen-Gemeinde Adass Jisroel zu Berlin,0,contested,geography,4524,7455,0.44208664898320066,0.44208664898320066,0.0,0.44208664898320066,0.0,2,0,2,0
Parochialkirche (Berlin),1,stable,geography,4997,7463,2.2013207924754856,1.6009605763458075,0.6003602161296778,2.2013207924754856,1.2007204322593557,8,3,8,6
Bernd Kebelmann,0,contested,culture,3223,2888,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Halo-System,1,stable,culture,3035,3471,0.6589785831960461,0.32948929159802304,0.32948929159802304,0.6589785831960461,0.32948929159802304,1,1,1,1
Austerität,0,contested,politics_history,3875,5793,0.7741935483870968,0.5161290322580645,0.25806451612903225,0.5161290322580645,0.25806451612903225,2,1,1,1
