title,label,label_name,topic,word_count,age_days,f2_hyland_only
Judentum in Afrika,0,contested,geography,7971,7232,0.14259232853272494
LGV Est européenne,1,stable,geography,7672,6732,0.0
Nornickel,0,contested,geography,4746,7044,0.0
Schwarzwaldbahn (Baden),1,stable,geography,4724,6736,0.27909572983533354
Data Loss Prevention,0,contested,science,1785,6603,0.0
Bonnetiaceae,1,stable,science,1746,6998,3.7831021437578816
Ahmad Schah Massoud,0,contested,geography,7270,5807,0.0
S-Bahn Zürich,1,stable,geography,7244,5747,0.19462826002335537
Andor Ákos,0,contested,culture,6610,5251,0.16619577862722287
Deutsche Bank Park,1,stable,culture,6586,4927,0.0
Massivholzbau,0,contested,science,3306,6311,0.5350454788657035
Zielratte,1,stable,science,3064,6195,0.0
Israelitische Synagogen-Gemeinde Adass Jisroel zu Berlin,0,contested,geography,4524,7455,0.0
Parochialkirche (Berlin),1,stable,geography,4997,7463,0.0
Bernd Kebelmann,0,contested,culture,3223,2888,0.0
Halo-System,1,stable,culture,3035,3471,0.0
Austerität,0,contested,politics_history,3875,5793,0.37835792659856227
Georges Scelle,1,stable,politics_history,3758,6033,0.0
Montessori Biberkor,0,contested,politics_history,5744,3744,0.0
Bruttoinlandsprodukt,1,stable,politics_history,5584,3756,0.24919013207077
Neukirchen-Vluyn,0,contested,geography,6493,5517,0.0
George Appo,1,stable,geography,6926,5577,0.2770850651149903
Gesellschaft für Unternehmensgeschichte,0,contested,politics_history,1815,5314,0.0
"Trier, Stadtbibliothek, Hs. 171/1626",1,stable,politics_history,1866,5562,0.0
Ilse Schwidetzky,0,contested,culture,2254,7038,0.5382131324004306
Soliman (Elefant),1,stable,culture,2597,7273,0.5688282138794084
Wuestenstrom,0,contested,politics_history,3890,6977,0.0
Queen-Elizabeth-Klasse (2017),1,stable,politics_history,3990,7229,0.0
Transzendentale Meditation,0,contested,culture,5905,6671,0.0
Ammonios Hermeiou,1,stable,culture,6150,6567,0.24703557312252963
Monocab,0,contested,politics_history,2689,1208,0.0
Pont Ferroviaire Saint-Laurent,1,stable,politics_history,3119,1654,0.0
TransPod,0,contested,politics_history,1918,3145,0.0
Richomer,1,stable,politics_history,1874,3017,2.3696682464454977
Wasser-Abrasiv-Suspensions-Strahlschneiden,0,contested,science,3033,1810,0.44014084507042256
Kleine Magellansche Wolke,1,stable,science,2713,2256,0.0
Propaganda im Ersten Weltkrieg,0,contested,geography,4383,7400,0.257201646090535
Zwinger (Münster),1,stable,geography,4028,7535,0.0
Dräxlmaier,0,contested,politics_history,1788,6630,0.0
Brinkmanship,1,stable,politics_history,1823,6359,0.0
Schulpflicht,0,contested,politics_history,2860,5658,0.6697923643670461
