title,label,label_name,topic,topic_specific,lang,hedging_density,def_ratio,citation_count,section_count,unique_editors,age_days,recency_ratio,revert_count,talk_words,talk_editors,word_count
Al-Andalus,0,contested,geography,Geography.Regions.Europe.Southern_Europe,de,0.8296,0.0327,40,15,276,6363,0.01,0,4999,22,4645
Basler Fasnacht,1,stable,geography,Geography.Regions.Europe.Western_Europe,de,1.1801,0.0414,16,29,264,6279,0.0,0,4677,22,4586
Judentum in Afrika,0,contested,geography,Geography.Regions.Africa.Africa*,de,2.4241,0.0118,36,45,158,7232,0.024,0,3023,18,7971
LGV Est européenne,1,stable,geography,Geography.Regions.Europe.Western_Europe,de,4.0331,0.028,98,32,204,6732,0.008,1,3489,33,7672
Nornickel,0,contested,geography,Geography.Regions.Asia.North_Asia,de,1.2966,0.0215,118,13,120,7044,0.0,0,235,8,4746
Schwarzwaldbahn (Baden),1,stable,geography,Geography.Regions.Europe.Western_Europe,de,3.3491,0.0201,42,21,234,6736,0.018,0,354,22,4724
Data Loss Prevention,0,contested,science,STEM.Computing,de,3.276,0.058,11,14,92,6603,0.014,0,321,5,1785
Bonnetiaceae,1,stable,science,STEM.Biology,de,0.0,0.0167,43,11,53,6998,0.0,0,625,2,1746
Ahmad Schah Massoud,0,contested,geography,Geography.Regions.Asia.South_Asia,de,1.1437,0.019,132,15,221,5807,0.006,1,14146,31,7270
S-Bahn Zürich,1,stable,geography,Geography.Regions.Europe.Western_Europe,de,3.5033,0.0251,60,36,202,5747,0.03,0,600,20,7244
Andor Ákos,0,contested,culture,Culture.Biography.Biography*,de,1.3296,0.007,19,16,90,5251,0.011,0,2130,13,6610
Deutsche Bank Park,1,stable,culture,Culture.Sports,de,0.9667,0.0235,67,22,199,4927,0.03,0,5720,17,6586
Massivholzbau,0,contested,science,STEM.STEM*,de,1.6051,0.0763,11,15,74,6311,0.022,0,624,22,3306
Zielratte,1,stable,science,STEM.STEM*,de,0.0,0.0645,68,14,24,6195,0.086,0,343,2,3064
Israelitische Synagogen-Gemeinde Adass Jisroel zu Berlin,0,contested,geography,Geography.Regions.Europe.Western_Europe,de,0.7489,0.0252,10,27,69,7455,0.0,0,866,7,4524
Parochialkirche (Berlin),1,stable,geography,Geography.Regions.Europe.Europe*,de,1.9871,0.0247,28,19,157,7463,0.008,0,1263,24,4997
Bernd Kebelmann,0,contested,culture,Culture.Biography.Biography*,de,0.0,0.0069,35,17,46,2888,0.008,0,212,3,3223
Halo-System,1,stable,culture,Culture.Sports,de,3.4682,0.0118,65,9,66,3471,0.006,0,2551,9,3035
Austerität,0,contested,politics_history,History_and_Society.Business_and_economics,de,1.8918,0.0238,60,11,197,5793,0.004,1,452,14,3875
Georges Scelle,1,stable,politics_history,History_and_Society.Politics_and_government,de,0.5593,0.0,56,12,30,6033,0.005,0,1111,4,3758
Montessori Biberkor,0,contested,politics_history,History_and_Society.Education,de,0.0,0.0377,162,57,34,3744,0.024,0,195,3,5744
Bruttoinlandsprodukt,1,stable,politics_history,History_and_Society.Business_and_economics,de,0.9968,0.0576,54,27,286,3756,0.016,1,1378,27,5584
Neukirchen-Vluyn,0,contested,geography,Geography.Regions.Europe.Western_Europe,de,2.1079,0.0365,60,47,244,5517,0.016,0,982,24,6493
George Appo,1,stable,geography,Geography.Regions.Americas.North_America,de,2.4938,0.0135,135,16,60,5577,0.003,0,5280,6,6926
Gesellschaft für Unternehmensgeschichte,0,contested,politics_history,History_and_Society.Business_and_economics,de,0.6452,0.018,8,21,35,5314,0.0,0,154,2,1815
"Trier, Stadtbibliothek, Hs. 171/1626",1,stable,politics_history,History_and_Society.History,de,1.9468,0.02,18,7,46,5562,0.012,0,4227,10,1866
Ilse Schwidetzky,0,contested,culture,Culture.Biography.Biography*,de,0.0,0.0,17,11,64,7038,0.01,0,1875,11,2254
Soliman (Elefant),1,stable,culture,Culture.Biography.Biography*,de,1.7065,0.0224,21,14,84,7273,0.0,0,4026,13,2597
Wuestenstrom,0,contested,politics_history,History_and_Society.Society,de,0.0,0.0833,89,14,130,6977,0.004,0,214,24,3890
Queen-Elizabeth-Klasse (2017),1,stable,politics_history,History_and_Society.Military_and_warfare,de,14.6013,0.0182,40,25,145,7229,0.02,0,1965,15,3990
Transzendentale Meditation,0,contested,culture,Culture.Philosophy_and_religion,de,3.7889,0.0265,105,34,124,6671,0.014,0,311,16,5905
Ammonios Hermeiou,1,stable,culture,Culture.Philosophy_and_religion,de,2.2233,0.0222,51,15,61,6567,0.0,0,398,6,6150
Monocab,0,contested,politics_history,History_and_Society.Transportation,de,7.3469,0.0333,74,14,35,1208,0.045,0,591,7,2689
Pont Ferroviaire Saint-Laurent,1,stable,politics_history,History_and_Society.Transportation,de,0.5211,0.0092,31,9,22,1654,0.0,0,1225,4,3119
