title,label,label_name,topic,word_count,age_days,f4_current_biased_count,f4_current_neutral_count,f4_current_total_count,f4_current_ratio_min3,f4_current_ratio_min2,f4_current_ratio_min1,f4_current_ratio_no_threshold,f4_current_smoothed_ratio,f4_current_biased_density,f4_current_neutral_density,f4_expanded_biased_count,f4_expanded_neutral_count,f4_expanded_total_count,f4_expanded_ratio_min3,f4_expanded_smoothed_ratio,f4_expanded_biased_density,f4_expanded_neutral_density
Geschmackliche Schärfe,1,stable,culture,1890,8128,0,1,1,,,0.0,0.0,0.25,0.0,0.5291005291005292,0,1,1,,0.25,0.0,0.5291005291005292
Bulgarische Wiedergeburt,0,contested,geography,4416,7138,0,1,1,,,0.0,0.0,0.25,0.0,0.22644927536231885,0,1,1,,0.25,0.0,0.22644927536231885
Elisabeth von Weida,1,stable,geography,4396,7118,0,10,10,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,2.2747952684258417,4,10,14,0.2857142857142857,0.3,0.9099181073703367,2.2747952684258417
Schulweg,0,contested,politics_history,1634,7342,0,0,0,,,,,0.5,0.0,0.0,1,0,1,,0.75,0.6119951040391677,0.0
Operation Earnest Will,1,stable,politics_history,1676,7322,1,0,1,,,1.0,1.0,0.75,0.5966587112171838,0.0,4,0,4,1.0,0.9,2.3866348448687353,0.0
Lindisfarne Castle,0,contested,geography,1782,7600,0,3,3,0.0,0.0,0.0,0.0,0.125,0.0,1.6835016835016834,0,3,3,0.0,0.125,0.0,1.6835016835016834
Eliezer Ben-Jehuda,1,stable,geography,1931,7577,1,3,4,0.25,0.25,0.25,0.25,0.3,0.5178663904712584,1.5535991714137751,1,3,4,0.25,0.3,0.5178663904712584,1.5535991714137751
Apadravya,0,contested,science,2037,7570,0,5,5,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,2.454590083456063,0,5,5,0.0,0.08333333333333333,0.0,2.454590083456063
Laufhühnchen,1,stable,science,1999,7514,0,0,0,,,,,0.5,0.0,0.0,0,0,0,,0.5,0.0,0.0
Spervogelton,0,contested,culture,3667,5740,1,7,8,0.125,0.125,0.125,0.125,0.16666666666666666,0.2727024815925825,1.9089173711480776,2,7,9,0.2222222222222222,0.25,0.545404963185165,1.9089173711480776
Year Zero,1,stable,culture,3494,5529,0,2,2,,0.0,0.0,0.0,0.16666666666666666,0.0,0.5724098454493417,3,2,5,0.6,0.5833333333333334,0.8586147681740126,0.5724098454493417
MHealth,0,contested,science,3078,3992,0,0,0,,,,,0.5,0.0,0.0,0,0,0,,0.5,0.0,0.0
Fraktursonografie,1,stable,science,3136,4153,0,1,1,,,0.0,0.0,0.25,0.0,0.31887755102040816,0,1,1,,0.25,0.0,0.31887755102040816
Sozionik und intertypische Beziehungen,0,contested,science,8239,7440,0,21,21,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,2.548853016142736,0,21,21,0.0,0.022727272727272728,0.0,2.548853016142736
Porsche 930,1,stable,science,6837,7511,0,0,0,,,,,0.5,0.0,0.0,0,0,0,,0.5,0.0,0.0
Bürgerversicherung,0,contested,geography,1641,8330,0,1,1,,,0.0,0.0,0.25,0.0,0.6093845216331506,1,1,2,,0.5,0.6093845216331506,0.6093845216331506
Grunewaldsee,1,stable,geography,1514,7961,0,0,0,,,,,0.5,0.0,0.0,0,0,0,,0.5,0.0,0.0
Kuno Raeber,0,contested,culture,1776,6648,0,1,1,,,0.0,0.0,0.25,0.0,0.5630630630630631,3,1,4,0.75,0.7,1.6891891891891893,0.5630630630630631
Garfield Akers,1,stable,culture,1516,7209,0,6,6,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,3.95778364116095,0,6,6,0.0,0.07142857142857142,0.0,3.95778364116095
Wandervogel,0,contested,geography,7752,7632,2,5,7,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.3125,0.25799793601651183,0.6449948400412797,6,5,11,0.5454545454545454,0.5416666666666666,0.7739938080495357,0.6449948400412797
Ziehenschule,1,stable,geography,7411,7637,1,10,11,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.125,0.13493455673998112,1.349345567399811,3,10,13,0.23076923076923078,0.25,0.4048036702199433,1.349345567399811
GS1,0,contested,politics_history,2105,6574,0,0,0,,,,,0.5,0.0,0.0,0,0,0,,0.5,0.0,0.0
"Seawolf (U-Boot, 1957)",1,stable,politics_history,2077,6750,0,0,0,,,,,0.5,0.0,0.0,0,0,0,,0.5,0.0,0.0
Franz Ruppert,0,contested,culture,3026,4336,0,7,7,0.0,0.0,0.0,0.0,0.0625,0.0,2.313284864507601,5,7,12,0.4166666666666667,0.4230769230769231,1.6523463317911435,2.313284864507601
Wilhelm Kühnert,1,stable,culture,3270,4915,0,10,10,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,3.058103975535168,3,10,13,0.23076923076923078,0.25,0.9174311926605505,3.058103975535168
Sanktuarium der Barmherzigkeit Gottes,0,contested,culture,3222,4935,0,6,6,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,1.86219739292365,1,6,7,0.14285714285714285,0.1875,0.31036623215394166,1.86219739292365
GateKeeper (Cedar Point),1,stable,culture,3262,5010,0,5,5,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,1.5328019619865114,1,5,6,0.16666666666666666,0.21428571428571427,0.30656039239730226,1.5328019619865114
Disneyland Park (Paris),0,contested,culture,6462,4414,0,0,0,,,,,0.5,0.0,0.0,0,0,0,,0.5,0.0,0.0
Ismar Boas,1,stable,culture,6046,4441,0,7,7,0.0,0.0,0.0,0.0,0.0625,0.0,1.1577902745616937,4,7,11,0.36363636363636365,0.375,0.6615944426066821,1.1577902745616937
Entführung von Michal Kováč jun.,0,contested,geography,3140,4964,2,9,11,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.20833333333333334,0.6369426751592356,2.8662420382165603,10,9,19,0.5263157894736842,0.525,3.1847133757961785,2.8662420382165603
East Brother Light Station,1,stable,geography,3236,4822,0,0,0,,,,,0.5,0.0,0.0,0,0,0,,0.5,0.0,0.0
Wiktor Juschtschenko,0,contested,geography,2728,7813,2,3,5,0.4,0.4,0.4,0.4,0.4166666666666667,0.7331378299120235,1.0997067448680353,3,3,6,0.5,0.5,1.0997067448680353,1.0997067448680353
Bremer Wappen,1,stable,geography,2799,7563,0,2,2,,0.0,0.0,0.0,0.16666666666666666,0.0,0.7145409074669524,0,2,2,,0.16666666666666666,0.0,0.7145409074669524
International Christian Fellowship,0,contested,geography,4062,5032,0,2,2,,0.0,0.0,0.0,0.16666666666666666,0.0,0.4923682914820286,6,2,8,0.75,0.7222222222222222,1.4771048744460857,0.4923682914820286
Gresgen,1,stable,geography,3968,5156,0,4,4,0.0,0.0,0.0,0.0,0.1,0.0,1.0080645161290323,0,4,4,0.0,0.1,0.0,1.0080645161290323
Uniface,0,contested,science,3193,8031,0,1,1,,,0.0,0.0,0.25,0.0,0.3131850923896023,0,1,1,,0.25,0.0,0.3131850923896023
Wiesenweihe,1,stable,science,3411,7967,0,1,1,,,0.0,0.0,0.25,0.0,0.2931691586045148,0,1,1,,0.25,0.0,0.2931691586045148
Mary Baker Eddy,0,contested,culture,1555,8101,1,0,1,,,1.0,1.0,0.75,0.6430868167202572,0.0,3,0,3,1.0,0.875,1.9292604501607717,0.0
Gerrard Winstanley,1,stable,culture,1522,7732,0,3,3,0.0,0.0,0.0,0.0,0.125,0.0,1.9710906701708277,1,3,4,0.25,0.3,0.657030223390276,1.9710906701708277
Dorje Shugden,0,contested,culture,3353,6448,1,5,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.21428571428571427,0.29824038174768863,1.4912019087384432,1,5,6,0.16666666666666666,0.21428571428571427,0.29824038174768863,1.4912019087384432
Britische Mount-Everest-Expedition 1922,1,stable,culture,3215,6594,0,1,1,,,0.0,0.0,0.25,0.0,0.3110419906687403,0,1,1,,0.25,0.0,0.3110419906687403
Nichtregierungsorganisation,0,contested,politics_history,6021,5427,1,8,9,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.15,0.16608536787908987,1.328682943032719,8,8,16,0.5,0.5,1.328682943032719,1.328682943032719
Straßenbahn München Baureihe R,1,stable,politics_history,5812,5115,0,1,1,,,0.0,0.0,0.25,0.0,0.17205781142463866,0,1,1,,0.25,0.0,0.17205781142463866
HolidayCheck Group,0,contested,geography,2018,6426,0,0,0,,,,,0.5,0.0,0.0,0,0,0,,0.5,0.0,0.0
Drehstrom-Versuchsstrecke Groß-Lichterfelde–Zehlendorf,1,stable,geography,1810,6775,0,0,0,,,,,0.5,0.0,0.0,0,0,0,,0.5,0.0,0.0
Ifo-Geschäftsklimaindex,0,contested,politics_history,1643,7779,0,1,1,,,0.0,0.0,0.25,0.0,0.6086427267194157,0,1,1,,0.25,0.0,0.6086427267194157
Halsamphora des Exekias (Berlin F 1720),1,stable,politics_history,1781,7148,0,2,2,,0.0,0.0,0.0,0.16666666666666666,0.0,1.1229646266142617,0,2,2,,0.16666666666666666,0.0,1.1229646266142617
Klaus Berger (Theologe),0,contested,culture,5550,7120,5,15,20,0.25,0.25,0.25,0.25,0.2619047619047619,0.9009009009009009,2.7027027027027026,15,15,30,0.5,0.5,2.7027027027027026,2.7027027027027026
Elias Canetti,1,stable,culture,5504,7178,0,7,7,0.0,0.0,0.0,0.0,0.0625,0.0,1.2718023255813955,0,7,7,0.0,0.0625,0.0,1.2718023255813955
Fußball in England,0,contested,culture,8496,7206,1,1,2,,0.5,0.5,0.5,0.5,0.11770244821092278,0.11770244821092278,3,1,4,0.75,0.7,0.3531073446327684,0.11770244821092278
Uralische Sprachen,1,stable,culture,7959,7024,0,6,6,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.7538635506973238,2,6,8,0.25,0.2777777777777778,0.25128785023244127,0.7538635506973238
Wilhelm Aumer,0,contested,culture,5775,2146,1,2,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.375,0.17316017316017315,0.3463203463203463,3,2,5,0.6,0.5833333333333334,0.5194805194805194,0.3463203463203463
Geneviève Thiroux d’Arconville,1,stable,culture,5869,2259,0,12,12,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,2.0446413358323396,1,12,13,0.07692307692307693,0.10714285714285714,0.1703867779860283,2.0446413358323396
Bund des russischen Volkes,0,contested,geography,4156,5808,0,5,5,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,1.2030798845043311,0,5,5,0.0,0.08333333333333333,0.0,1.2030798845043311
Dschabal Sindschar,1,stable,geography,4231,6027,0,5,5,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,1.181753722524226,1,5,6,0.16666666666666666,0.21428571428571427,0.2363507445048452,1.181753722524226
Kaufmännischer Verband Schweiz,0,contested,geography,1990,7773,0,0,0,,,,,0.5,0.0,0.0,0,0,0,,0.5,0.0,0.0
Lendkanal,1,stable,geography,2039,7454,0,1,1,,,0.0,0.0,0.25,0.0,0.4904364884747425,0,1,1,,0.25,0.0,0.4904364884747425
Erzgebirgischer Schwibbogen,0,contested,geography,1863,8102,1,0,1,,,1.0,1.0,0.75,0.5367686527106817,0.0,1,0,1,,0.75,0.5367686527106817,0.0
Tokugawa Ieyasu,1,stable,geography,1892,8029,0,1,1,,,0.0,0.0,0.25,0.0,0.5285412262156448,0,1,1,,0.25,0.0,0.5285412262156448
Kameralistik,0,contested,politics_history,5903,7024,0,4,4,0.0,0.0,0.0,0.0,0.1,0.0,0.677621548365238,7,4,11,0.6363636363636364,0.625,1.1858377096391666,0.677621548365238
Parkeisenbahn Wuhlheide,1,stable,politics_history,6250,7054,0,2,2,,0.0,0.0,0.0,0.16666666666666666,0.0,0.32,0,2,2,,0.16666666666666666,0.0,0.32
Street Football/Episodenliste,0,contested,culture,5143,5086,1,1,2,,0.5,0.5,0.5,0.5,0.19443904335990667,0.19443904335990667,4,1,5,0.8,0.75,0.7777561734396267,0.19443904335990667
